,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code
964,Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA
965,East Orange,New Jersey,35.5,29995.0,34967.0,64962,1870.0,15164.0,2.85,NJ
967,Alameda,California,41.4,37747.0,40867.0,78614,4504.0,18841.0,2.52,CA
975,South Gate,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.969999999999999,CA
987,Durham,North Carolina,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4,NC
992,Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA
994,Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX
1002,Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL
1016,Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA
1026,Palmdale,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA
1030,Riverside,California,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34,CA
1081,Federal Way,Washington,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68,WA
1097,Irving,Texas,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78,TX
1098,Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA
1104,Chula Vista,California,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32,CA
1116,Newport News,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA
1135,Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL
1140,Concord,North Carolina,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.719999999999999,NC
1146,New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY
1160,Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL
1161,Florence-Graham,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA
1191,Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL
1211,Plantation,Florida,40.6,42881.0,49674.0,92555,4037.0,27902.0,2.73,FL
1252,Palo Alto,California,40.2,31451.0,35397.0,66848,2025.0,23348.0,2.55,CA
1276,Stockton,California,32.5,150976.0,154674.0,305650,12822.0,79583.0,3.16,CA
1285,Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX
1298,Broomfield,Colorado,36.8,31755.0,33310.0,65065,3966.0,5316.0,2.53,CO
1357,Columbus,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH
1381,Mission Viejo,California,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85,CA
1400,Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA
1414,Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC
1419,Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN
1437,Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA
1497,Sacramento,California,33.7,237724.0,252991.0,490715,19698.0,112579.0,2.73,CA
1501,Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA
1508,Miami Gardens,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL
1520,Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL
1547,Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN
1565,Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD
1581,Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA
1604,Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN
1609,San Buenaventura,California,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68,CA
1645,Harlingen,Texas,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0,TX
1651,San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA
1657,Tyler,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX
1762,Menifee,California,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06,CA
1774,Gainesville,Florida,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33,FL
1931,Bellflower,California,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58,CA
1963,Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ
